agent_id,macro_region,generation_cohort,residential_stratum,current_state,llm_final_state,decision_changed,decision_confidence,dominant_emotion,rationale_summary
A00001,Bogota_Cundinamarca,35_49,2,Cepeda,Cepeda,False,0.72,evaluacion,"Con base en la dieta informativa revisada, la posición del agente se mantuvo firme hacia OPTION_B. Las señales de contraste entre candidatos no cambiaron la dirección del voto, y la movilización alta junto con propensión cero al voto en blanco confirman la decisión de votar por OPTION_B."
A00002,Antioquia_EjeCafetero,25_34,2,Cepeda,Cepeda,False,0.67,movilizacion,"Con base en la dieta informativa, el agente mantiene su preferencia por OPTION_A. El discurso de anticorrupción y seguridad resuena con sus valores de orden. Las encuestas que favorecen a OPTION_B tienen riesgo de desinformación moderado y el agente recuerda con fuerza el motivo de noticias falsas en campaña, lo que genera cautela ante esas señales."
A00003,Caribe,35_49,4,Cepeda,Cepeda,False,0.68,confianza,"Con base en el dossier, el agente mantiene su posición en OPTION_B. Las señales favorables a OPTION_A tienen riesgos de desinformación considerables, mientras que el perfil del agente —orientación negociadora alta, progresismo cultural elevado— es coherente con OPTION_B. La fatiga moderada y la incertidumbre presente no son suficientes para cambiar la decisión inicial."
A00004,Boyaca_Tolima_Huila,50_64,2,No alineado,Voto en blanco,True,0.36,incertidumbre,"Con una posición casi en cero, incertidumbre alta y poca movilización, no encuentro razones suficientes para votar por ninguno de los dos candidatos. La propensión al voto en blanco refleja mejor mi estado actual que cualquier opción concreta."
A00005,Antioquia_EjeCafetero,65_mas,2,De la Espriella,De la Espriella,False,0.9053256611951616,confianza,"Después de revisar toda la información disponible, la posición a favor de OPTION_A se mantuvo muy sólida. Las encuestas muestran una ventaja clara del 51% frente al 43%, y aunque hubo algunas señales negativas, no fueron suficientes para cambiar la decisión. La movilización alta y la confianza acumulada respaldan votar por OPTION_A."
A00006,Santanderes,25_34,3,Abstencion,Abstencion,False,0.13,desaprobacion,"Con una incertidumbre del 83% y una propensión a la abstención del 55%, este agente no encontró señales suficientemente convincentes para votar por ningún candidato. La fatiga informativa es alta, la movilización casi inexistente, y las señales recibidas se contrarrestan entre sí sin generar una preferencia clara. La abstención es la decisión más coherente con su estado actual."
A00007,Antioquia_EjeCafetero,18_24,3,Cepeda,Cepeda,False,0.67,esperanza,"Con base en el dosier, la preferencia por OPTION_B es muy sólida y la movilización es alta. Las señales negativas que aparecieron tienen un impacto mínimo en la posición y no logran revertir la inclinación consolidada. La propensión al voto en blanco es cero y la abstención es baja, así que la decisión es votar por OPTION_B."
A00008,Caribe,35_49,2,De la Espriella,De la Espriella,False,0.72,movilizacion,"Después de revisar las señales disponibles, mi posición sigue siendo clara: voto por OPTION_B. Las noticias sobre la publicidad retirada y la camiseta son controversias menores que no cambian el panorama general. Mi orientación hacia el orden y la economía me mantiene firme en esta opción, y la movilización que siento es alta."
A00009,Santanderes,25_34,2,De la Espriella,De la Espriella,False,0.89,certeza,"Con una posición consolidada en OPTION_A desde el inicio y una movilización alta, las señales negativas recibidas no lograron mover significativamente la preferencia del agente. Las denuncias de OPTION_B tienen riesgo de desinformación considerable y el impacto en la posición fue mínimo. El perfil de orden y orientación económica del agente es coherente con mantener el voto por OPTION_A."
A00010,Boyaca_Tolima_Huila,18_24,2,No alineado,Cepeda,True,0.38,incertidumbre,"Con alta incertidumbre y fatiga informativa, las señales disponibles apuntan marginalmente hacia OPTION_A. Las señales negativas hacia OPTION_B —respaldo de ultraderecha internacional, posible red de contratistas y vínculos con Trump— pesan más que el ruido generado por declaraciones polémicas de aliados de OPTION_A. La confianza en la decisión es baja, pero votar en blanco no tiene efecto jurídico real."
A00011,Santanderes,35_49,2,De la Espriella,De la Espriella,False,0.72,validacion,"Después de revisar toda la información disponible, la posición se mantiene sólidamente a favor de OPTION_A. Las señales de validación regional (Quindío) y el análisis de impacto internacional refuerzan esta opción. La denuncia de Cuestión Pública sobre contratistas genera algo de sospecha, pero su riesgo de desinformación moderado le resta peso decisivo. La movilización es alta y no hay propensión al voto en blanco, así que la decisión es votar por OPTION_A."
A00012,Bogota_Cundinamarca,65_mas,3,Abstencion,De la Espriella,True,0.38,evaluacion,"Con bastante incertidumbre todavía, las señales disponibles inclinan levemente la balanza hacia OPTION_B: el respaldo de Fenalco, la encuesta de NTN24 y el acercamiento de sectores independientes son señales que, aunque no son perfectas, pesan más que las señales a favor de OPTION_A, algunas de las cuales tienen mayor riesgo de desinformación. La decisión se toma con poca confianza pero con la información que hay."
A00013,Boyaca_Tolima_Huila,65_mas,2,De la Espriella,De la Espriella,False,0.83,expectativa,"La verdad, después de revisar toda la información disponible, mi decisión sigue siendo OPTION_A. Las denuncias y controversias que surgieron en campaña tuvieron poco peso real dado el nivel de riesgo de desinformación de esas fuentes. Mi confianza es alta y la movilización también, así que voy a votar con convicción."
A00014,Bogota_Cundinamarca,35_49,3,No alineado,De la Espriella,True,0.31,incertidumbre,"La verdad, la decisión no es fácil. La incertidumbre es muy alta y hay señales contradictorias sobre OPTION_B: un fallo judicial por uso de símbolos patrios y una declaración polémica sobre el Ejército generan desconfianza, pero las encuestas y el respaldo externo apuntan a una ventaja de OPTION_B. Con una posición apenas positiva y confianza baja, el agente vota por OPTION_B sin mayor convicción."
A00015,Antioquia_EjeCafetero,35_49,6,Cepeda,Cepeda,False,0.71,incertidumbre,"La verdad, después de revisar las señales disponibles, mi posición sigue siendo OPTION_B. Las fuentes que más confío —medios alternativos e investigativos y radio regional— no muestran evidencia sólida para cambiar. Las señales favorables a OPTION_A vienen de fuentes con mayor riesgo de desinformación, así que no les doy el mismo peso. Hay incertidumbre, pero no suficiente para abandonar la opción que he sostenido desde el inicio."
A00016,Bogota_Cundinamarca,50_64,1,Cepeda,Cepeda,False,0.78,conviccion,"Mire, la verdad es que después de revisar toda la información disponible, mi posición con OPTION_A sigue siendo sólida. Las señales a favor de OPTION_B tienen riesgos de desinformación notables y sus efectos sobre mi posición son mínimos. Con la confianza que tengo y la movilización que siento, voy a votar por OPTION_A."
A00017,Boyaca_Tolima_Huila,50_64,2,Cepeda,Cepeda,False,0.62,presion,"Después de revisar las señales disponibles, el agente mantiene su preferencia por OPTION_B. Las señales favorables a OPTION_A tienen riesgos de desinformación considerables y provienen de fuentes con confianza relativamente baja. La señal más confiable (La Silla Vacía) señala dificultades de OPTION_B, pero no es suficiente para revertir la posición base. Con movilización alta y propensión al voto en blanco mínima, la decisión es votar por OPTION_B."
A00018,Bogota_Cundinamarca,25_34,4,De la Espriella,De la Espriella,False,0.81,confianza,"Con base en la dieta informativa, la posición del agente se mantiene sólidamente hacia OPTION_B. Las señales más fuertes —mercados de predicción con 87% y encuestas con ventaja clara— apuntan en la misma dirección. Las señales negativas tienen poco peso o alto riesgo de desinformación. La movilización es moderada y la propensión a abstención es baja, así que votar es la acción coherente."
A00019,Bogota_Cundinamarca,25_34,3,De la Espriella,De la Espriella,False,0.84,alivio,"Con base en la dieta informativa, este agente mantiene su posición a favor de OPTION_A. Las señales positivas pesan más que la única señal negativa, cuyo impacto fue mínimo. La confianza es alta y la propensión al voto en blanco es cero, así que la decisión es clara."
A00020,Bogota_Cundinamarca,25_34,3,De la Espriella,De la Espriella,False,0.68,certeza,"Después de revisar la dieta informativa, la posición del agente se mantuvo sólida hacia OPTION_B. Las acusaciones en su contra provienen de señales con alto riesgo de desinformación y generaron cambios mínimos. La propensión al voto en blanco es casi nula, así que lo más coherente es votar por OPTION_B."
A00021,Bogota_Cundinamarca,50_64,4,De la Espriella,De la Espriella,False,0.71,evaluacion,"La agente mantiene su preferencia por OPTION_A. Su perfil de alta orientación al orden y la economía, junto con bajo progresismo cultural, es coherente con esta opción. Las señales más confiables de su dieta (radio, medio internacional) apuntan a OPTION_A, mientras que las señales a favor de OPTION_B provienen de contextos de movilización juvenil que no conectan con su realidad como comerciante local de Soacha. El alto escepticismo hacia fuentes la protege de señales con alto riesgo de desinformación."
A00022,Bogota_Cundinamarca,18_24,2,Abstencion,Abstencion,False,0.19,incertidumbre,"Con una posición casi neutral, incertidumbre muy alta, fatiga elevada y movilización nula, no hay base suficiente para votar por ninguna opción. La señal más fuerte del dossier es la aclaración sobre el voto en blanco (efecto simbólico), lo que refuerza la tendencia a abstenerse. La propensión a la abstención supera el 49%, y la confianza en las fuentes disponibles no alcanza para resolver la duda."
A00023,Bogota_Cundinamarca,35_49,3,No alineado,Cepeda,True,0.38,alerta,"Con mucha incertidumbre y algo de fatiga, la información disponible inclina levemente hacia OPTION_B. Las señales de alerta sobre riesgo institucional y posible injerencia extranjera en favor de OPTION_A generan desconfianza, mientras que el desempeño de OPTION_B en el Cauca y su proyección participativa suman puntos. La decisión no es firme, pero hay una dirección."
A00024,Bogota_Cundinamarca,25_34,5,Cepeda,Cepeda,False,0.85,certeza,"La verdad, el agente lleva todo el proceso inclinado hacia OPTION_A con una confianza bastante sólida. Las señales en contra tienen un riesgo de desinformación alto y no logran mover la posición. La movilización es fuerte y la propensión al voto en blanco es cero, así que la decisión es clara: votar por OPTION_A."
A00025,Caribe,50_64,1,De la Espriella,De la Espriella,False,0.74,determinacion,"Con una posición muy consolidada hacia OPTION_A y una movilización alta, la decisión es votar por esa opción. Las señales negativas tienen alto riesgo de desinformación y no logran mover la postura. La orientación económica del agente y su vulnerabilidad refuerzan la preferencia por quien ofrece estabilidad."
A00026,Santanderes,25_34,3,Cepeda,Cepeda,False,0.67,indignacion,"Con base en el dossier, la posición del agente está firmemente orientada hacia OPTION_A desde el inicio. Las señales recibidas generan pequeños movimientos pero no revierten esa preferencia. La movilización es moderada y no hay propensión al voto en blanco, así que la decisión más coherente es votar por OPTION_A."
A00027,Pacifico,65_mas,1,Cepeda,Cepeda,False,0.68,validacion,"La verdad, con todo lo que he visto, OPTION_B me genera más confianza para la paz y para las comunidades rurales. Las señales en contra tienen mucho riesgo de ser información distorsionada, y la participación alta en regiones como el Cauca me dice que hay respaldo real. Mi decisión es votar por OPTION_B."
A00028,Bogota_Cundinamarca,18_24,1,No alineado,Cepeda,True,0.31,incertidumbre,"Con mucha incertidumbre y poca movilización, la balanza se inclina apenas hacia OPTION_A por las señales de medios regionales y alternativos que este agente tiende a confiar más. No es una decisión firme, pero los datos disponibles apuntan en esa dirección."
A00029,Antioquia_EjeCafetero,35_49,2,Cepeda,Cepeda,False,0.55,presion,"Honestamente, la información disponible tiene bastante ruido y señales contradictorias. Las fuentes más confiables no logran revertir la preferencia por OPTION_B, y las señales negativas contra esta opción vienen de fuentes con alto riesgo de desinformación. Igual, la incertidumbre es alta, pero la posición se mantiene."
A00030,Sur_Amazonia,25_34,1,De la Espriella,De la Espriella,False,0.58,certeza,"Después de revisar la información disponible, la posición del agente se mantiene firme hacia OPTION_B. Su perfil —fuerza pública, zona rural en Caquetá, alta orientación económica y memoria de conflicto máxima— es coherente con esta preferencia. Las señales negativas sobre OPTION_B tuvieron un efecto muy pequeño y no cambiaron la dirección de la decisión."
A00031,Pacifico,50_64,1,Abstencion,Abstencion,False,0.22,incertidumbre,"Con una incertidumbre del 76%, fatiga alta y movilización en cero, no hay evidencia suficiente en la dieta informativa para tomar una decisión fundamentada. Las señales más confiables son mixtas o de contexto, y la propensión a la abstención es la más alta entre las opciones disponibles. Por eso, la decisión más coherente con el perfil es abstenerse."
A00032,Bogota_Cundinamarca,35_49,3,Abstencion,Cepeda,True,0.42,sospecha,"Después de revisar la dieta informativa, las señales más fuertes apuntan a problemas serios con OPTION_B: posible red de presión sobre contratistas, ataques a periodistas y una prohibición judicial. OPTION_A, aunque no genera entusiasmo, tiene un discurso más alineado con anticorrupción y seguridad. Con mucha incertidumbre y fatiga, la decisión es votar por OPTION_A sin gran convicción."
A00033,Pacifico,35_49,6,Cepeda,Cepeda,False,0.65,certeza,"Después de revisar las señales disponibles, me quedo con OPTION_B. Las señales que favorecen a OPTION_A tienen riesgos de desinformación altos, especialmente la acusación de fraude electoral (S141) con un riesgo del 70%. Mi orientación hacia la negociación y el progresismo cultural es más coherente con OPTION_B. El alto escepticismo ante las fuentes me lleva a descontar señales poco confiables."
A00034,Antioquia_EjeCafetero,35_49,3,Cepeda,Cepeda,False,0.58,expectativa,"Después de revisar toda la información disponible, mi posición sigue siendo OPTION_A. Las señales que favorecen a OPTION_B son reales pero su efecto es mínimo frente a la preferencia ya consolidada. La campaña judicializada y el ambiente preelectoral generan incertidumbre, pero no suficiente para cambiar el voto."
A00035,Pacifico,25_34,3,Cepeda,Cepeda,False,0.78,esperanza,"Con base en el dossier, la posición de esta agente ha sido consistentemente favorable a OPTION_B desde el inicio. Las señales negativas sobre ese candidato son de bajo peso y no logran revertir la preferencia. El respaldo internacional a OPTION_A no genera confianza dado el alto escepticismo de la agente. La movilización es moderada-alta y la propensión al voto en blanco es nula, así que la decisión es votar por OPTION_B."
A00036,Bogota_Cundinamarca,35_49,2,Cepeda,Cepeda,False,0.82,esperanza,"Con una posición muy consolidada hacia OPTION_A y una movilización alta, el agente decide votar por esa opción. Las señales a favor de OPTION_B no tuvieron peso suficiente para cambiar la dirección. La fatiga existe pero no frena la decisión."
A00037,Pacifico,65_mas,2,Abstencion,Abstencion,False,0.24,incertidumbre,"Con tanta incertidumbre y cansancio acumulado, y con señales que se contradicen entre sí sin dar una dirección clara, la decisión más honesta es no votar en esta ocasión. La propensión a la abstención es muy alta y la movilización casi nula, lo que confirma que no hay razón suficiente para cambiar esa postura inicial."
A00038,Antioquia_EjeCafetero,25_34,2,Cepeda,Cepeda,False,0.667,certeza,"Con base en el dossier, la posición del agente está consolidada hacia OPTION_A desde el inicio, con una confianza razonable y movilización activa. Las señales de voto en blanco no tienen peso suficiente para cambiar la decisión, y las señales favorables a OPTION_B son débiles. La fatiga es alta pero no anula la preferencia. Se mantiene el voto por OPTION_A."
A00039,Boyaca_Tolima_Huila,25_34,1,De la Espriella,De la Espriella,False,0.69,confianza,"Después de revisar la información disponible, la posición del agente se mantiene firme hacia OPTION_A. El ponderador de La Silla (51% vs 43%) y el respaldo político recibido refuerzan esta decisión. Las señales a favor de OPTION_B no son suficientes para cambiar la tendencia, especialmente considerando su riesgo de desinformación moderado-alto."
A00040,Pacifico,65_mas,2,Abstencion,Abstencion,False,0.14,desconfianza,"Con una incertidumbre del 82% y una propensión a la abstención del 48%, este agente no encuentra razones suficientes para inclinarse por ningún candidato. Las señales recibidas son débiles y contradictorias, y la fatiga informativa es alta. La decisión más coherente con el estado del agente es abstenerse."
A00041,Boyaca_Tolima_Huila,25_34,2,No alineado,Cepeda,True,0.52,fatiga,"Con toda la información disponible, la posición del agente queda apenas por debajo de cero, lo que indica una inclinación leve pero real hacia OPTION_B. La fatiga es alta y la movilización muy baja, pero los datos acumulados no justifican el voto en blanco ni la abstención como opción más coherente. Se vota por OPTION_B con confianza moderada-baja."
A00042,Boyaca_Tolima_Huila,35_49,3,Abstencion,Abstencion,False,0.16,alarma,"La verdad, con tanta señal contradictoria y un proceso que genera más dudas que certezas, la decisión más honesta es no votar. La confianza en las instituciones está por el suelo y las alarmas sobre desinformación y el papel del Ejército generan demasiada desconfianza para comprometerse con alguna opción."
A00043,Pacifico,35_49,2,Cepeda,Cepeda,False,0.72,alarma,"Después de revisar las señales, la declaración de OPTION_A sobre usar el Ejército para restablecer el orden me genera mucha preocupación, especialmente siendo una persona que valora la negociación. Mi posición se mantiene firme con OPTION_B, aunque reconozco que hay incertidumbre sobre su capacidad de ampliar apoyos hacia el centro."
A00044,Llanos_Orinoquia,25_34,1,No alineado,No alineado,False,0.21,incertidumbre,"Con una incertidumbre de más del 75% y una posición casi en cero, este agente no tiene elementos suficientes para decidir entre las dos opciones. Las señales recibidas son pocas, débiles y en parte contaminadas por desinformación. La baja movilización y la alta vulnerabilidad económica refuerzan la cautela. Por eso la decisión más honesta es quedarse sin definir por ahora."
A00045,Caribe,25_34,1,Cepeda,Cepeda,False,0.84,esperanza,"La verdad, con toda la información que revisé, mi posición sigue siendo clara: OPTION_B tiene el respaldo más sólido según las señales del dosier. La movilización juvenil, las alianzas y la orientación progresista cultural de mi perfil coinciden con esta opción. Las señales a favor de OPTION_A son débiles y algunas tienen riesgo de desinformación notable."
A00046,Caribe,18_24,3,No alineado,Cepeda,True,0.31,esperanza,"La agente tiene mucha incertidumbre y fatiga, pero las señales apuntan levemente hacia OPTION_A: hay movilización juvenil, respaldo de movimientos sociales y una narrativa de esperanza que conecta con su perfil progresista. Además, la sombra del paramilitarismo sobre OPTION_B pesa en alguien con alta memoria de conflicto. El voto en blanco pierde sentido práctico en segunda vuelta según fuente pública confiable."
A00047,Antioquia_EjeCafetero,18_24,1,De la Espriella,De la Espriella,False,0.69,confianza,"Después de revisar las señales disponibles, la preferencia por OPTION_A se mantuvo sólida. Las encuestas que muestran ventaja (S035) y el análisis del voto de clase media (S019) son las señales más relevantes y provienen de fuentes con confianza razonable. Las señales negativas sobre injerencia extranjera tuvieron un efecto mínimo. La propensión al voto en blanco es cero y la movilización es alta, así que la decisión es votar por OPTION_A."
A00048,Bogota_Cundinamarca,25_34,2,Cepeda,Cepeda,False,0.87,alarma,"Con una posición muy marcada hacia OPTION_A y una confianza alta, los señales más impactantes del dosier apuntan a problemas serios con OPTION_B: la publicación sobre el Ejército restableciendo el orden si no se reconocen resultados genera alarma real, y la investigación sobre redes de contratistas refuerza la desconfianza. La movilización juvenil en torno a OPTION_A también suma. Con todo eso, la decisión es clara: voto por OPTION_A."
A00049,Llanos_Orinoquia,50_64,2,No alineado,De la Espriella,True,0.38,evaluacion,"Con una posición prácticamente neutral y una incertidumbre muy alta, la decisión es difícil. Sin embargo, las señales disponibles apuntan levemente hacia OPTION_A, especialmente en temas económicos y de institucionalidad. La señal negativa sobre contratistas tiene alto riesgo de desinformación y se descuenta. La baja movilización (0.08) y la propensión a la abstención (0.41) son preocupantes, pero se opta por votar con confianza baja antes que abstenerse."
A00050,Santanderes,50_64,3,De la Espriella,De la Espriella,False,0.78,certeza,"Con base en el dossier, la preferencia por OPTION_B se mantuvo estable a lo largo de toda la dieta informativa. Las señales que intentaron erosionar esa posición tienen alto riesgo de desinformación y efectos prácticamente nulos en el indicador de posición. La agente tiene baja propensión al voto en blanco y moderada movilización, lo que apoya votar con convicción por OPTION_B."
